CASE_CODE,PROCEDURE_CODE,CASE_TITLE,FIRM NAME,MEMBER_STATE,SECTOR,CASE_CODE,AID_INSTRUMENT,CASE_TYPE,START_DATE,END_DATE,NOTIFICATION_DATE,DECISIONS,LAST_DECISION,OBJECTIVES,DECISION_DATE,OJ_INFO,RELATED_CASES,BvD_ID_NUMBER,STATUS(0=SURVIVAL / 1=M&A / 2=DEATH),DEAL_TYPE,ACQUIROR,DATE_RACHAT_ou_death
NN72/2008,NN72/2008,Austrian Airlines - Aide au sauvetage,Austrian Airlines,Austria,"H.51.1 - Passenger air transport
H.51.21 - Freight air transport
H.52 - Warehousing and support activities for transportation",NN72/2008,x,Individual Application,,,19-12-08,Decision not to raise objections,Decision not to raise objections,"Employment, Regional development, Remedy for a serious disturbance in the economy, Rescuing firms in difficulty, Sectoral development",19-01-09,,,AT9110044307,1,Acquisition 95.4%,Lufthansa,10/09/2009
C6/2009,"C6/2009, N663/2008",Restructuring of Austrian Airlines AG,Austrian Airlines AG,Austria,"H.51.1 - Passenger air transport, H.51.21 - Freight air transport, H.52 - Warehousing and support activities for transportation",C6/2009,Direct grant,Individual Application,20-09-2008,,22-12-08,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,"Employment, Regional development, Restructuring firms in difficulty, Sectoral development",28-08-09,"JOCE C/57/2009, JOCE L/59/2010",,AT9110044307,1,Acquisition 95.4%,Lufthansa,10/09/2009
N81/2009,N81/2009,Rescue Aid to Eybl Austria GmbH,Eybl Austria GmbH,Austria,"C.13 - Manufacture of textiles, S - Other services activities",N81/2009,Guarantee,Individual Application,01-03-2009,30-09-2009,13-02-09,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,14-04-09,JOCE C/125/2009,,AT9150092530,1,Acquisition à 100%,ARDAN LIVVEY INVESTORS B.V.,09/2020
C44/2003,"C44/2003, NN158/2001",Bank Burgenland - restructuring aid,Bank Burgenland,Austria,K - Financial and insurance activities,C44/2003,Guarantee,Individual Application,,,24-06-03,"Article 4(4) - decision to extend proceedings, Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,Restructuring firms in difficulty,07-05-04,"JOCE C/037/2004, JOCE C/189/2003, JOCE L/263/2005",,ATFEB33785,1,Acquisition 100%,Grazer wechselseitige Versicherung,12/05/2006
C50/2006,"C50/2006, NN68/2006",BAWAG,BAWAG,Austria,"K.64 - Financial service activities, except insurance and pension funding",C50/2006,Guarantee,Ad Hoc Case,01-01-2006,01-07-2007,04-05-06,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(4) - conditional decision",Conditional Decision,Restructuring firms in difficulty,27-06-07,"JOCE C/332/2006, JOCE L/83/2008",,ATFEB43719,1,Institutional buy-out 100%,"GENERALI HOLDING VIENNA AG, OSTERREICHISCHE POST AG, BAUSPARKASSE WUSTENROTAG, CERBERUS CAPITAL MANAGEMENT LP",15-05-2007
C41/2009,"C41/2009, N698/2009",€ - $ - Emergency support for Hypo Alpe Adria,Hypo Alpe Adria,Austria,K - Financial and insurance activities,C41/2009,"Guarantee, Other forms of equity intervention",Individual Application,15-12-2009,,17-12-09,Decision not to raise objections,Decision not to raise objections,"Remedy for a serious disturbance in the economy, Restructuring firms in difficulty",23-12-09,JOCE C/85/2010,"SA.28487, SA.28487",ATFEB45364,2,,,2014
N726/2009,N726/2009,"Aide à la restructuration des activités ""fret"" de la SA de droit public SNCB",SNCB,Belgium,H.49.20 - Freight rail transport,N726/2009,"Debt write-off, Direct grant, Other forms of equity intervention",Ad Hoc Case,01-07-2010,,24-12-09,"Corrigendum, Decision not to raise objections",Decision not to raise objections,Restructuring firms in difficulty,11-11-10,JOCE C/327/2010,,BE0203430576,0,,,
N55/2005,N55/2005,Notification de certains accords conclus entre la SNCB et sa filiale IFB - (cas existant NN 9/2004),SNCB,Belgium,H - Transporting and storage,N55/2005,Debt write-off,Scheme,,,02-02-05,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,07-12-05,,,BE0203430576,0,,,
SA.47227,2017/N,Aide au sauvetage en faveur de la S.A. IDEM PAPERS,S.A. IDEM PAPERS,Belgium,	C.17.12 - Manufacture of paper and paperboard,SA.47227,Soft loan,Individual Application,22-12-2016,,03-01-17,Decision not to raise objections,Decision not to raise objections,Rescuing undertakings in difficulty,23-02-17,JOCE C/110/2017,,BE0400344734,1-2,,Terje Haglund,2018
C46/2005,"C46/2005, NN9/2004","Mesures de sauvetage en faveur de ""Inter Ferry Boats"" (IFB)",Inter Ferry Boats,Belgium,H.49 - Land transport and transport via pipelines,C46/2005,Soft loan,Ad Hoc Case,,,30-01-04,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision, Corrigendum",Positive Decision,Rescuing firms in difficulty,13-06-07,"JOCE C/159/2006, JOCE L/225/2009",,BE04034259869,0,,,
