BVDID,CLOSDATE,year,consolidation_code,num_months,Turnover,Sales,Employees,Material_costs,Depreciation,Costs_of_employees,Tangible_fixed_assets,Intangible_fixed_assets,Fixed_assets,other_fixed_assets,current_assets,tota_assets,current_liabilities,net_current_assets,Added_value,enterprise_value,costs_of_goods_sold,gross_profit,EBIT,EBITDA,liquidity_ratio,solvency_ratio_asset,solvency_ratio_liability,name,country,country_iso,entity_type,status,status_date,legal_form,entity_form,company_cateogry,listed,historical_record_flag,historical_record_date
AT9110044307,2008-12-31,2008,C1,12,2509200000.0,2462300000.0,,581000000.0,501400000.0,507200000.0,1586900000.0,31600000.0,1839200000.0,220700000.0,353100000.0,2192300000.0,856900000.0,-503800000.0,746300000.0,1286138896.0,1615100000.0,894100000.0,-266900000.0,234500000.0,0.35,11.61,13.13,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01
AT9110044307,2007-12-31,2007,C1,12,2515900000.0,2468600000.0,8031.0,441700000.0,270100000.0,527100000.0,1995400000.0,16000000.0,2387700000.0,376300000.0,452600000.0,2840300000.0,765600000.0,-313000000.0,863800000.0,1518400000.0,1536100000.0,979800000.0,31500000.0,301600000.0,0.53,27.63,38.17,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01
AT9110044307,2008-12-31,2008,C2,12,2530600000.0,2462300000.0,7914.0,,501400000.0,507200000.0,1586900000.0,31600000.0,1814800000.0,196300000.0,377500000.0,2192300000.0,690200000.0,-312700000.0,746700000.0,1151938896.0,,,-312100000.0,189300000.0,0.47,11.67,13.21,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01
AT9110044307,2007-12-31,2007,C2,12,,,,,,,1995400000.0,16000000.0,2264000000.0,252600000.0,576300000.0,2840300000.0,1574000000.0,-997700000.0,,1518400000.0,,,,,0.34,27.69,38.0,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01
AT9110044307,2015-12-31,2015,U2,12,2178956000.0,2097169000.0,,532071000.0,125705000.0,432323000.0,511145000.0,17956000.0,661559000.0,132458000.0,388942000.0,1050501000.0,1963000.0,386979000.0,527564000.0,,,,-53255000.0,72450000.0,,9.57,10.59,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01
AT9110044307,2014-12-31,2014,U2,12,2304994000.0,2027701000.0,2496.0,603741000.0,22086000.0,220001000.0,79506000.0,11761000.0,428836000.0,337569000.0,491945000.0,920781000.0,1843000.0,490102000.0,261523000.0,,,,-107463000.0,-85377000.0,,13.85,16.08,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01
AT9110044307,2013-12-31,2013,U2,12,2362591000.0,2047702000.0,2400.0,617070000.0,31255000.0,220946000.0,92639000.0,10608000.0,468835000.0,365588000.0,514054000.0,982889000.0,1638000.0,512416000.0,219024000.0,,,,-111885000.0,-80630000.0,,10.22,11.38,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01
AT9110044307,2012-12-31,2012,U2,12,2421369000.0,2128524000.0,4800.0,648654000.0,65733000.0,353084000.0,137862000.0,12542000.0,596226000.0,445822000.0,368642000.0,964868000.0,1363000.0,367279000.0,359443000.0,,,,-87933000.0,-22200000.0,,9.89,10.98,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01
AT9110044307,2011-12-31,2011,U2,12,2058702000.0,1918010000.0,4669.0,571922000.0,96587000.0,380947000.0,366183000.0,16660000.0,757922000.0,375079000.0,257818000.0,1015740000.0,538000.0,257280000.0,362225000.0,,,,-178011000.0,-81424000.0,,1.67,1.7,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01
AT9110044307,2010-12-31,2010,U2,12,2062262330.0,1893625402.0,4898.0,,57866764.0,356105298.0,79006.0,44655.0,71847548.0,71723887.0,36673326.0,108520873.0,,36673326.0,346270985.0,,,,-144858611.0,-86991846.0,,65.19,,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01
AT9110044307,2009-12-31,2009,U2,12,1786101000.0,1785954000.0,,391992000.0,98750000.0,502144000.0,288300000.0,25812000.0,963627000.0,649516000.0,223585000.0,1187212000.0,646451000.0,-422866000.0,168697000.0,215557000.0,,,-380260000.0,-281510000.0,0.28,-23.87,,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01
AT9110044307,2008-12-31,2008,U2,12,2246000.0,2245000.0,,662000.0,85700.0,435000.0,523000.0,26900.0,1230000.0,681000.0,284000.0,1514000.0,551000.0,-267000.0,328000.0,352568000.0,,,-251000.0,-165000.0,0.43,10.48,12.0,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01
AT9110044307,2007-12-31,2007,U2,12,2236613000.0,2235904000.0,,530738000.0,86476000.0,444058000.0,603727000.0,11814000.0,1194281000.0,578740000.0,543548000.0,1737829000.0,628704000.0,-85156000.0,554946000.0,452595000.0,,,-152404000.0,-65928000.0,0.8,20.57,26.0,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01
AT9150092530,2016-12-31,2016,U1,12,45055171.0,32603741.0,100.0,29841486.0,1195314.0,7384575.0,463632.0,4142.0,480315.0,12541.0,5664770.0,6145084.0,,5664770.0,11778020.0,,,,3198114.0,4393429.0,,,,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,
AT9150092530,2015-12-31,2015,U1,12,61501541.0,55020916.0,184.0,43180301.0,661537.0,9461626.0,1252714.0,431366.0,1696621.0,12541.0,12189329.0,13885950.0,,12189329.0,13247589.0,,,,2549600.0,3211137.0,,,,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,
AT9150092530,2014-12-31,2014,U1,12,63982357.0,59236029.0,275.0,43550262.0,692702.0,10536967.0,1662404.0,706762.0,2381708.0,12542.0,14721331.0,17103038.0,,14721331.0,12098788.0,,,,858343.0,1551045.0,,,,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,
AT9150092530,2013-12-31,2013,U1,12,59201764.0,56968062.0,275.0,41468005.0,1080889.0,10935264.0,1921951.0,16335.0,1993563.0,55277.0,17149793.0,19143356.0,,17149793.0,11573291.0,,,,-1816374.0,-735486.0,,,,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,
AT9150092530,2012-12-31,2012,U1,12,59640938.0,55123537.0,275.0,40257222.0,3004136.0,12243855.0,2755545.0,403530.0,23964354.0,20805279.0,15291080.0,39255434.0,,15291080.0,12953961.0,,,,-5927119.0,-2922983.0,,2.69,2.76,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,
AT9150092530,2011-12-31,2011,U1,12,78132962.0,71516048.0,370.0,52737459.0,1578292.0,16130423.0,3818254.0,928234.0,26889228.0,22142740.0,22233421.0,49122649.0,,22233421.0,19537968.0,,,,-660873.0,917418.0,,-74.76,,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,
AT9150092530,2010-12-31,2010,U1,12,46297942.0,45104021.0,,34639810.0,1883832.0,8865609.0,4291275.0,1402590.0,37548931.0,31855066.0,22714326.0,60263257.0,,22714326.0,11806087.0,,,,-7609.0,1876223.0,,-61.65,,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,
AT9150092530,2010-05-31,2010,U1,12,,,,,,,5402000.0,1544000.0,37230000.0,30284000.0,22779000.0,60009000.0,82749000.0,-59970000.0,,,,,,,0.19,-60.79,,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,
AT9150092530,2009-05-31,2009,U1,8,112815000.0,100193000.0,,89749000.0,1915000.0,9288000.0,4625000.0,479000.0,5104000.0,4.0,31031000.0,36136000.0,56989000.0,-25957000.0,-5107000.0,,,,-27849000.0,-25934000.0,0.43,-99.84,,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,
AT9150092530,2008-09-30,2008,U1,6,151325000.0,140387000.0,,125442000.0,1432000.0,7539000.0,5632000.0,907000.0,58003000.0,51465000.0,60912000.0,118915000.0,123307000.0,-62394000.0,-29921000.0,,,,-21621000.0,-20189000.0,0.42,-16.09,,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,
AT9150092530,2008-03-31,2008,U1,12,316646000.0,303552000.0,,252858000.0,4027000.0,14698000.0,6505000.0,1154000.0,89429000.0,81771000.0,90186000.0,179615000.0,147911000.0,-57725000.0,-19078000.0,,,,-6260000.0,-2233000.0,0.55,11.76,8.0,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,
AT9150092530,2007-03-31,2007,U1,12,327601000.0,315816000.0,,216202000.0,5231000.0,16166000.0,20660000.0,806000.0,105404000.0,83939000.0,101771000.0,207175000.0,178080000.0,-76309000.0,31371000.0,,,,9449000.0,14679000.0,0.4,11.08,12.0,Eybl Austria GmbH,Austria,AT,C,Active,,Private limited companies,Corporate,Large company,Unlisted,,
ATFEB33785,2017-01-01,2017,LF,12,,,285.0,,,,,,,,,,,,,,,,,,,,,HYPO-BANK BURGENLAND Aktiengesellschaft,Austria,AT,B,Active,,Public limited companies,Bank,Very large company,Delisted,,
ATFEB33785,2016-01-01,2016,LF,12,3305286584.0,,285.0,,,,,,,,,,,,,,,,,,,,,HYPO-BANK BURGENLAND Aktiengesellschaft,Austria,AT,B,Active,,Public limited companies,Bank,Very large company,Delisted,,
ATFEB33785,2015-01-01,2015,LF,12,3512160323.0,,278.0,,,,,,,,,,,,,,,,,,,,,HYPO-BANK BURGENLAND Aktiengesellschaft,Austria,AT,B,Active,,Public limited companies,Bank,Very large company,Delisted,,
ATFEB33785,2014-01-01,2014,LF,12,3187876158.0,,280.0,,,,,,,,,,,,,,,,,,,,,HYPO-BANK BURGENLAND Aktiengesellschaft,Austria,AT,B,Active,,Public limited companies,Bank,Very large company,Delisted,,
ATFEB33785,2013-01-01,2013,LF,12,3455283868.0,,285.0,,,,,,,,,,,,,,,,,,,,,HYPO-BANK BURGENLAND Aktiengesellschaft,Austria,AT,B,Active,,Public limited companies,Bank,Very large company,Delisted,,
ATFEB33785,2012-01-01,2012,LF,12,3581763720.0,,290.0,,,,,,,,,,,,,,,,,,,,,HYPO-BANK BURGENLAND Aktiengesellschaft,Austria,AT,B,Active,,Public limited companies,Bank,Very large company,Delisted,,
ATFEB33785,2011-01-01,2011,LF,12,3683436000.0,,292.0,,,,,,,,,,,,,,,,,,,,,HYPO-BANK BURGENLAND Aktiengesellschaft,Austria,AT,B,Active,,Public limited companies,Bank,Very large company,Delisted,,
ATFEB43719,2016-01-01,2016,LF,12,34991128056.0,,2819.0,,,,,,,,,,,,,,,,,,,,,BAWAG P.S.K. Bank fuer Arbeit u. Wirtschaft u. OEsterreichische P. AG,Austria,AT,B,Active,,Public limited companies,Bank,Very large company,Unlisted,,
ATFEB43719,2015-01-01,2015,LF,12,33910710498.0,,3091.0,,,,,,,,,,,,,,,,,,,,,BAWAG P.S.K. Bank fuer Arbeit u. Wirtschaft u. OEsterreichische P. AG,Austria,AT,B,Active,,Public limited companies,Bank,Very large company,Unlisted,,
ATFEB43719,2014-01-01,2014,LF,12,33549057689.0,,3598.0,,,,,,,,,,,,,,,,,,,,,BAWAG P.S.K. Bank fuer Arbeit u. Wirtschaft u. OEsterreichische P. AG,Austria,AT,B,Active,,Public limited companies,Bank,Very large company,Unlisted,,
ATFEB43719,2013-01-01,2013,LF,12,35649706586.0,,4043.0,,,,,,,,,,,,,,,,,,,,,BAWAG P.S.K. Bank fuer Arbeit u. Wirtschaft u. OEsterreichische P. AG,Austria,AT,B,Active,,Public limited companies,Bank,Very large company,Unlisted,,
ATFEB43719,2012-01-01,2012,LF,12,39905753716.0,,4153.0,,,,,,,,,,,,,,,,,,,,,BAWAG P.S.K. Bank fuer Arbeit u. Wirtschaft u. OEsterreichische P. AG,Austria,AT,B,Active,,Public limited companies,Bank,Very large company,Unlisted,,
ATFEB43719,2011-01-01,2011,LF,12,40822306579.0,,4142.0,,,,,,,,,,,,,,,,,,,,,BAWAG P.S.K. Bank fuer Arbeit u. Wirtschaft u. OEsterreichische P. AG,Austria,AT,B,Active,,Public limited companies,Bank,Very large company,Unlisted,,
ATFEB43719,2010-01-01,2010,LF,12,38371621083.0,,4296.0,,,,,,,,,,,,,,,,,,,,,BAWAG P.S.K. Bank fuer Arbeit u. Wirtschaft u. OEsterreichische P. AG,Austria,AT,B,Active,,Public limited companies,Bank,Very large company,Unlisted,,
ATFEB45364,2017-01-01,2017,LF,12,,,356.0,,,,,,,,,,,,,,,,,,,,,Heta Asset Resolution Ag,Austria,AT,B,Active,,Public limited companies,Bank,Very large company,Unlisted,,
