BVDID,nace_main_section,nace_core_code,NACE_prim,NACE_sec
AT9110044307,H - Transportation and storage,5110.0,5110.0,5121.0
AT9110044307,,,,
AT9150092530,C - Manufacturing,1391.0,1391.0,1392.0
AT9150092530,,,,1512.0
AT9150092530,,,,
AT9150092530,,,,
ATFEB33785,K - Financial and insurance activities,6419.0,6419.0,6492.0
ATFEB33785,,,,6499.0
ATFEB33785,,,,6612.0
ATFEB33785,,,,6619.0
ATFEB43719,K - Financial and insurance activities,6419.0,6419.0,6492.0
ATFEB43719,,,,6499.0
ATFEB43719,,,,6612.0
ATFEB43719,,,,6619.0
ATFEB45364,K - Financial and insurance activities,6420.0,6420.0,
ATFEB45364,,,,
BE0203430576,H - Transportation and storage,4910.0,4910.0,4920.0
BE0203430576,,,,6209.0
BE0203430576,,,,7810.0
BE0203430576,,,,8010.0
BE0203430576,,,,
BE0203430576,,,,
BE0400344734,C - Manufacturing,1712.0,1712.0,
BE0400344734,,,,
BE0415657965,C - Manufacturing,2511.0,2511.0,
BE0807886175,C - Manufacturing,2313.0,2313.0,4644.0
BE0807886175,,,,4759.0
BE0807886175,,,,
BE0807886175,,,,
BE0861445419,K - Financial and insurance activities,6499.0,6499.0,4941.0
BE0861445419,,,,5210.0
BE0861445419,,,,5221.0
BE0861445419,,,,5224.0
BE0861445419,,,,5229.0
BE0861445419,,,,6420.0
BE0861445419,,,,6430.0
BE0861445419,,,,
BE0861445419,,,,
BE0861445419,,,,
BE0861445419,,,,
BE0861445419,,,,
BE0861445419,,,,
BE0861445419,,,,
BE0861445419,,,,
BE0861445419,,,,
BG130822878,"M - Professional, scientific and technical activities",7010.0,7010.0,6420.0
BG130822878,,,,6820.0
BG130822878,,,,
BG130822878,,,,
BG130822878,,,,
BG130822878,,,,
BG130822878,,,,
BG130822878,,,,
BG130822878,,,,
CYC314,H - Transportation and storage,5110.0,5110.0,
CZ00555568,K - Financial and insurance activities,6419.0,6419.0,
CZ00555568,,,,
CZ00555568,,,,
CZ00555568,,,,
CZ00555568,,,,
CZ00555568,,,,
CZ00555568,,,,
CZ04795784,F - Construction,4310.0,4310.0,4610.0
CZ04795784,,,,5590.0
CZ04795784,,,,6820.0
CZ04795784,,,,
CZ04795784,,,,
CZ04795784,,,,
CZ04795784,,,,
CZ04795784,,,,
CZ45795908,H - Transportation and storage,5110.0,5110.0,
DE2010000524,C - Manufacturing,1712.0,1712.0,1723.0
DE2010000524,,,,4690.0
DE2010000524,,,,
DE2010366899,H - Transportation and storage,5110.0,5110.0,5121.0
DE2010366899,,,,
DE2010924174,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,4645.0,4645.0,2042.0
DE2011685245,C - Manufacturing,2720.0,2720.0,
DE2011685245,,,,
DE2011735625,K - Financial and insurance activities,6619.0,6619.0,6629.0
DE2011735625,,,,6630.0
DE2011735625,,,,
DE2011735625,,,,
DE2011735625,,,,
DE2011735625,,,,
DE2011735625,,,,
DE2011735625,,,,
DE2012009283,C - Manufacturing,2711.0,2711.0,
DE2012009283,,,2712.0,
DE2150501747,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,4649.0,4649.0,4763.0
DE2151637427,C - Manufacturing,3011.0,3011.0,4690.0
DE2151637427,,,,
DE2151637427,,,,
DE2350165695,C - Manufacturing,3011.0,3011.0,
DE3030125113,C - Manufacturing,2841.0,2841.0,2849.0
DE3030172844,C - Manufacturing,2562.0,2562.0,2561.0
DE3030172844,,,,
DE3030172844,,,,
DE3050081184,"E - Water supply; sewerage, waste management and remediation activities",3811.0,3811.0,3700.0
DE3050081184,,,,3821.0
DE3050286351,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,4711.0,4711.0,4617.0
DE3050286351,,,,
DE3050286351,,,,
DE3070077741,C - Manufacturing,2611.0,2611.0,4652.0
DE3070077741,,,,
DE3070199029,C - Manufacturing,2651.0,2651.0,
DE3070199029,,,,
DE3070199029,,,,
DE3070199029,,,,
DE3110135145,C - Manufacturing,3109.0,3109.0,
DE3110135145,,,,
DE3110135145,,,,
DE3110135145,,,,
DE3130103851,C - Manufacturing,2059.0,2059.0,2825.0
DE3130103851,,,,4531.0
DE3130103851,,,,
DE3130103851,,,,
DE3150068175,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,4775.0,4775.0,2053.0
DE3150068175,,,,4675.0
DE3150068175,,,,4791.0
DE3150068175,,,,
DE3150188687,C - Manufacturing,2892.0,2892.0,4660.0
DE3150188687,,,,7739.0
DE3150325299,C - Manufacturing,1082.0,1082.0,4636.0
DE3150325299,,,,4638.0
DE3150325299,,,,
DE3210056774,C - Manufacturing,2313.0,2313.0,2319.0
