,CLOSDATE,year,consolidation_code,num_months,Turnover,Sales,Employees,Material_costs,Depreciation,Costs_of_employees,Tangible_fixed_assets,Intangible_fixed_assets,Fixed_assets,other_fixed_assets,current_assets,tota_assets,current_liabilities,net_current_assets,Added_value,enterprise_value,costs_of_goods_sold,gross_profit,EBIT,EBITDA,liquidity_ratio,solvency_ratio_asset,solvency_ratio_liability,name,country,country_iso,entity_type,status,status_date,legal_form,entity_form,company_cateogry,listed,historical_record_flag,historical_record_date,nace_main_section,nace_core_code,NACE_prim,NACE_sec,revenue_per_employees,CASE_CODE,PROCEDURE_CODE,CASE_TITLE,FIRM NAME,MEMBER_STATE,SECTOR,CASE_CODE.1,AID_INSTRUMENT,CASE_TYPE,START_DATE,END_DATE,NOTIFICATION_DATE,DECISIONS,LAST_DECISION,OBJECTIVES,DECISION_DATE,OJ_INFO,RELATED_CASES,STATUS(0=SURVIVAL / 1=M&A / 2=DEATH),DEAL_TYPE,ACQUIROR,DATE_RACHAT_ou_death
AT9110044307,2015-12-31,2015,U2,12,2178956000.0,2097169000.0,,532071000.0,125705000.0,432323000.0,511145000.0,17956000.0,661559000.0,132458000.0,388942000.0,1050501000.0,1963000.0,386979000.0,527564000.0,,,,-53255000.0,72450000.0,,9.57,10.59,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01,H - Transportation and storage,5110.0,5110.0,5121.0,,NN72/2008,NN72/2008,Austrian Airlines - Aide au sauvetage,Austrian Airlines,Austria,"H.51.1 - Passenger air transport
H.51.21 - Freight air transport
H.52 - Warehousing and support activities for transportation",NN72/2008,x,Individual Application,,,19-12-08,Decision not to raise objections,Decision not to raise objections,"Employment, Regional development, Remedy for a serious disturbance in the economy, Rescuing firms in difficulty, Sectoral development",19-01-09,,,1,Acquisition 95.4%,Lufthansa,10/09/2009
AT9110044307,2015-12-31,2015,U2,12,2178956000.0,2097169000.0,,532071000.0,125705000.0,432323000.0,511145000.0,17956000.0,661559000.0,132458000.0,388942000.0,1050501000.0,1963000.0,386979000.0,527564000.0,,,,-53255000.0,72450000.0,,9.57,10.59,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01,H - Transportation and storage,5110.0,5110.0,5121.0,,C6/2009,"C6/2009, N663/2008",Restructuring of Austrian Airlines AG,Austrian Airlines AG,Austria,"H.51.1 - Passenger air transport, H.51.21 - Freight air transport, H.52 - Warehousing and support activities for transportation",C6/2009,Direct grant,Individual Application,20-09-2008,,22-12-08,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,"Employment, Regional development, Restructuring firms in difficulty, Sectoral development",28-08-09,"JOCE C/57/2009, JOCE L/59/2010",,1,Acquisition 95.4%,Lufthansa,10/09/2009
AT9110044307,2014-12-31,2014,U2,12,2304994000.0,2027701000.0,2496.0,603741000.0,22086000.0,220001000.0,79506000.0,11761000.0,428836000.0,337569000.0,491945000.0,920781000.0,1843000.0,490102000.0,261523000.0,,,,-107463000.0,-85377000.0,,13.85,16.08,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01,H - Transportation and storage,5110.0,5110.0,5121.0,923475.1602564103,NN72/2008,NN72/2008,Austrian Airlines - Aide au sauvetage,Austrian Airlines,Austria,"H.51.1 - Passenger air transport
H.51.21 - Freight air transport
H.52 - Warehousing and support activities for transportation",NN72/2008,x,Individual Application,,,19-12-08,Decision not to raise objections,Decision not to raise objections,"Employment, Regional development, Remedy for a serious disturbance in the economy, Rescuing firms in difficulty, Sectoral development",19-01-09,,,1,Acquisition 95.4%,Lufthansa,10/09/2009
AT9110044307,2014-12-31,2014,U2,12,2304994000.0,2027701000.0,2496.0,603741000.0,22086000.0,220001000.0,79506000.0,11761000.0,428836000.0,337569000.0,491945000.0,920781000.0,1843000.0,490102000.0,261523000.0,,,,-107463000.0,-85377000.0,,13.85,16.08,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01,H - Transportation and storage,5110.0,5110.0,5121.0,923475.1602564103,C6/2009,"C6/2009, N663/2008",Restructuring of Austrian Airlines AG,Austrian Airlines AG,Austria,"H.51.1 - Passenger air transport, H.51.21 - Freight air transport, H.52 - Warehousing and support activities for transportation",C6/2009,Direct grant,Individual Application,20-09-2008,,22-12-08,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,"Employment, Regional development, Restructuring firms in difficulty, Sectoral development",28-08-09,"JOCE C/57/2009, JOCE L/59/2010",,1,Acquisition 95.4%,Lufthansa,10/09/2009
AT9110044307,2013-12-31,2013,U2,12,2362591000.0,2047702000.0,2400.0,617070000.0,31255000.0,220946000.0,92639000.0,10608000.0,468835000.0,365588000.0,514054000.0,982889000.0,1638000.0,512416000.0,219024000.0,,,,-111885000.0,-80630000.0,,10.22,11.38,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01,H - Transportation and storage,5110.0,5110.0,5121.0,984412.9166666666,NN72/2008,NN72/2008,Austrian Airlines - Aide au sauvetage,Austrian Airlines,Austria,"H.51.1 - Passenger air transport
H.51.21 - Freight air transport
H.52 - Warehousing and support activities for transportation",NN72/2008,x,Individual Application,,,19-12-08,Decision not to raise objections,Decision not to raise objections,"Employment, Regional development, Remedy for a serious disturbance in the economy, Rescuing firms in difficulty, Sectoral development",19-01-09,,,1,Acquisition 95.4%,Lufthansa,10/09/2009
AT9110044307,2013-12-31,2013,U2,12,2362591000.0,2047702000.0,2400.0,617070000.0,31255000.0,220946000.0,92639000.0,10608000.0,468835000.0,365588000.0,514054000.0,982889000.0,1638000.0,512416000.0,219024000.0,,,,-111885000.0,-80630000.0,,10.22,11.38,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01,H - Transportation and storage,5110.0,5110.0,5121.0,984412.9166666666,C6/2009,"C6/2009, N663/2008",Restructuring of Austrian Airlines AG,Austrian Airlines AG,Austria,"H.51.1 - Passenger air transport, H.51.21 - Freight air transport, H.52 - Warehousing and support activities for transportation",C6/2009,Direct grant,Individual Application,20-09-2008,,22-12-08,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,"Employment, Regional development, Restructuring firms in difficulty, Sectoral development",28-08-09,"JOCE C/57/2009, JOCE L/59/2010",,1,Acquisition 95.4%,Lufthansa,10/09/2009
AT9110044307,2012-12-31,2012,U2,12,2421369000.0,2128524000.0,4800.0,648654000.0,65733000.0,353084000.0,137862000.0,12542000.0,596226000.0,445822000.0,368642000.0,964868000.0,1363000.0,367279000.0,359443000.0,,,,-87933000.0,-22200000.0,,9.89,10.98,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01,H - Transportation and storage,5110.0,5110.0,5121.0,504451.875,NN72/2008,NN72/2008,Austrian Airlines - Aide au sauvetage,Austrian Airlines,Austria,"H.51.1 - Passenger air transport
H.51.21 - Freight air transport
H.52 - Warehousing and support activities for transportation",NN72/2008,x,Individual Application,,,19-12-08,Decision not to raise objections,Decision not to raise objections,"Employment, Regional development, Remedy for a serious disturbance in the economy, Rescuing firms in difficulty, Sectoral development",19-01-09,,,1,Acquisition 95.4%,Lufthansa,10/09/2009
AT9110044307,2012-12-31,2012,U2,12,2421369000.0,2128524000.0,4800.0,648654000.0,65733000.0,353084000.0,137862000.0,12542000.0,596226000.0,445822000.0,368642000.0,964868000.0,1363000.0,367279000.0,359443000.0,,,,-87933000.0,-22200000.0,,9.89,10.98,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01,H - Transportation and storage,5110.0,5110.0,5121.0,504451.875,C6/2009,"C6/2009, N663/2008",Restructuring of Austrian Airlines AG,Austrian Airlines AG,Austria,"H.51.1 - Passenger air transport, H.51.21 - Freight air transport, H.52 - Warehousing and support activities for transportation",C6/2009,Direct grant,Individual Application,20-09-2008,,22-12-08,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,"Employment, Regional development, Restructuring firms in difficulty, Sectoral development",28-08-09,"JOCE C/57/2009, JOCE L/59/2010",,1,Acquisition 95.4%,Lufthansa,10/09/2009
AT9110044307,2011-12-31,2011,U2,12,2058702000.0,1918010000.0,4669.0,571922000.0,96587000.0,380947000.0,366183000.0,16660000.0,757922000.0,375079000.0,257818000.0,1015740000.0,538000.0,257280000.0,362225000.0,,,,-178011000.0,-81424000.0,,1.67,1.7,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01,H - Transportation and storage,5110.0,5110.0,5121.0,440929.96358963376,NN72/2008,NN72/2008,Austrian Airlines - Aide au sauvetage,Austrian Airlines,Austria,"H.51.1 - Passenger air transport
H.51.21 - Freight air transport
H.52 - Warehousing and support activities for transportation",NN72/2008,x,Individual Application,,,19-12-08,Decision not to raise objections,Decision not to raise objections,"Employment, Regional development, Remedy for a serious disturbance in the economy, Rescuing firms in difficulty, Sectoral development",19-01-09,,,1,Acquisition 95.4%,Lufthansa,10/09/2009
AT9110044307,2011-12-31,2011,U2,12,2058702000.0,1918010000.0,4669.0,571922000.0,96587000.0,380947000.0,366183000.0,16660000.0,757922000.0,375079000.0,257818000.0,1015740000.0,538000.0,257280000.0,362225000.0,,,,-178011000.0,-81424000.0,,1.67,1.7,Austrian Airlines AG,Austria,AT,C,Active,,Public limited companies,Corporate,Very large company,Delisted,Historical record,2018-01-01,H - Transportation and storage,5110.0,5110.0,5121.0,440929.96358963376,C6/2009,"C6/2009, N663/2008",Restructuring of Austrian Airlines AG,Austrian Airlines AG,Austria,"H.51.1 - Passenger air transport, H.51.21 - Freight air transport, H.52 - Warehousing and support activities for transportation",C6/2009,Direct grant,Individual Application,20-09-2008,,22-12-08,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,"Employment, Regional development, Restructuring firms in difficulty, Sectoral development",28-08-09,"JOCE C/57/2009, JOCE L/59/2010",,1,Acquisition 95.4%,Lufthansa,10/09/2009
